t,o,h,l,c,v,qv
1758417600000,4483.36,4484.27,4483.36,4484.26,215.32,965452.52259
1758417660000,4484.27,4484.82,4484.26,4484.78,273.858,1228142.29332
1758417720000,4484.78,4485.37,4484.65,4484.66,348.077,1561124.29024
1758417780000,4484.66,4484.66,4483.22,4483.22,364.398,1633969.07824
1758417840000,4483.23,4484.17,4483.22,4484.17,243.566,1092112.08956
1758417900000,4484.16,4485.3,4484.16,4484.95,270.627,1213754.25839
1758417960000,4484.95,4485.23,4484.95,4485.16,316.708,1420461.09678
1758418020000,4485.16,4485.16,4483.5,4483.5,379.457,1701627.28359
1758418080000,4483.51,4485.15,4483.5,4485.14,137.635,617248.79248
1758418140000,4485.15,4485.15,4483.59,4483.77,343.816,1541758.75791
1758418200000,4483.77,4483.77,4483.19,4483.75,136.505,611993.06923
1758418260000,4483.74,4483.75,4482.74,4482.74,80.297,360000.34593
1758418320000,4482.75,4482.75,4482.08,4482.44,248.502,1113895.75182
1758418380000,4482.45,4483.11,4482.44,4482.73,175.976,788890.61464
1758418440000,4482.72,4482.73,4482.0,4482.01,171.98,770845.94694
1758418500000,4482.01,4482.63,4482.0,4482.0,210.554,943733.5351
1758418560000,4482.01,4482.6,4481.92,4481.93,201.456,902990.2193
1758418620000,4481.93,4483.27,4481.92,4481.93,409.597,1836177.38871
1758418680000,4481.92,4481.93,4481.12,4481.13,168.325,754330.9475
1758418740000,4481.12,4481.13,4480.52,4481.05,324.259,1452938.15525
1758418800000,4481.05,4481.05,4480.22,4480.23,306.941,1375350.28638
1758418860000,4480.22,4480.23,4478.24,4479.8,1663.999,7454037.35841
1758418920000,4479.8,4479.96,4478.66,4478.66,296.467,1327933.95472
1758418980000,4478.66,4478.66,4477.64,4477.89,763.415,3418666.72023
1758419040000,4477.89,4479.34,4477.89,4479.34,372.649,1668883.34279
1758419100000,4479.34,4480.36,4478.37,4478.49,901.133,4036004.61805
1758419160000,4478.48,4478.49,4477.82,4477.83,299.244,1340092.02407
1758419220000,4477.83,4477.98,4477.25,4477.56,568.668,2546204.01918
1758419280000,4477.56,4477.71,4477.39,4477.7,304.375,1362848.7083
1758419340000,4477.71,4480.12,4477.7,4479.78,338.798,1517573.35002
1758419400000,4479.78,4479.8,4477.7,4478.42,265.592,1189554.47281
1758419460000,4478.42,4479.42,4478.15,4479.05,149.998,671805.78909
1758419520000,4479.05,4480.59,4477.04,4477.8,1294.216,5796219.51939
1758419580000,4477.8,4478.72,4477.79,4477.86,347.735,1557314.74177
1758419640000,4477.86,4477.86,4477.03,4477.03,257.236,1151742.92042
1758419700000,4477.03,4477.29,4476.76,4477.17,568.688,2545969.39202
1758419760000,4477.17,4477.18,4476.08,4477.17,322.456,1443476.98123
1758419820000,4477.18,4478.35,4476.79,4477.66,260.068,1164428.45216
1758419880000,4477.66,4478.22,4476.86,4477.94,124.6,557911.072
1758419940000,4477.94,4479.55,4477.93,4479.1,359.572,1610529.95643
1758420000000,4479.11,4479.11,4477.83,4478.01,340.222,1523547.06607
1758420060000,4478.02,4480.44,4478.01,4480.06,516.403,2313165.92344
1758420120000,4480.06,4481.28,4480.05,4481.28,646.616,2897278.60181
1758420180000,4481.28,4481.28,4479.3,4479.66,742.767,3327620.34707
1758420240000,4479.67,4479.67,4479.66,4479.67,88.573,396777.56041
1758420300000,4479.66,4480.53,4479.25,4480.52,213.878,958174.85625
1758420360000,4480.52,4480.77,4479.63,4480.13,300.77,1347529.63257
1758420420000,4480.14,4480.77,4479.87,4479.87,291.7,1306946.85271
1758420480000,4479.88,4479.88,4479.47,4479.68,145.95,653801.49709
1758420540000,4479.67,4479.89,4479.63,4479.89,221.176,990794.73227
1758420600000,4479.89,4480.79,4479.88,4480.79,336.379,1507162.81563
1758420660000,4480.79,4482.74,4480.78,4482.74,681.28,3053435.94021
1758420720000,4482.74,4483.87,4482.73,4483.87,522.053,2340433.09601
1758420780000,4483.87,4484.99,4483.86,4484.99,431.564,1935443.26072
1758420840000,4484.98,4485.0,4483.79,4483.8,690.38,3096083.95151
1758420900000,4483.79,4484.73,4483.79,4484.73,347.113,1556626.13262
1758420960000,4484.73,4485.75,4484.72,4485.75,375.112,1682486.29191
1758421020000,4485.74,4486.29,4477.78,4478.95,7689.091,34458227.06534
1758421080000,4478.95,4478.96,4467.89,4471.55,10059.543,44983269.01303
1758421140000,4471.55,4472.21,4471.55,4472.2,797.029,3564089.81781
1758421200000,4472.2,4473.1,4468.0,4468.37,3256.723,14562451.73966
1758421260000,4468.37,4468.38,4454.29,4460.21,43015.642,191822524.42614
1758421320000,4460.2,4466.15,4460.2,4466.15,5873.638,26222509.64555
1758421380000,4466.14,4467.37,4466.14,4466.4,1719.595,7681540.77731
1758421440000,4466.41,4466.46,4466.4,4466.45,837.196,3739275.84049
1758421500000,4466.46,4466.95,4466.02,4466.31,1408.758,6292269.86156
1758421560000,4466.3,4466.31,4464.68,4464.69,801.643,3579788.17552
1758421620000,4464.68,4466.0,4464.68,4465.99,1028.614,4592906.72513
1758421680000,4466.0,4467.91,4466.0,4467.8,1857.361,8297451.33505
1758421740000,4467.8,4475.35,4467.14,4473.55,9189.087,41090994.46668
1758421800000,4473.55,4473.55,4471.28,4471.28,959.152,4289601.48708
1758421860000,4471.28,4471.29,4470.43,4470.43,1053.316,4709187.64353
1758421920000,4470.44,4472.47,4470.44,4472.41,1996.761,8928469.55578
1758421980000,4472.42,4474.0,4472.41,4474.0,474.473,2122306.75665
1758422040000,4474.0,4475.99,4473.99,4475.98,1171.392,5242100.07028
1758422100000,4475.99,4476.38,4475.56,4475.62,1059.883,4744121.68193
1758422160000,4475.62,4475.63,4473.9,4473.91,497.516,2226193.51411
1758422220000,4473.91,4474.53,4473.9,4474.53,238.912,1068930.69565
1758422280000,4474.53,4475.1,4474.52,4474.57,384.399,1720105.51062
1758422340000,4474.57,4475.55,4474.37,4474.56,527.283,2359575.1603
1758422400000,4474.57,4475.45,4474.56,4475.44,200.308,896358.93985
1758422460000,4475.45,4476.01,4475.02,4476.0,583.303,2610523.1253
1758422520000,4476.01,4477.46,4476.0,4477.43,552.013,2471248.69686
1758422580000,4477.44,4477.44,4475.84,4475.84,554.459,2482068.33821
1758422640000,4475.84,4475.85,4475.0,4475.01,313.171,1401568.86938
1758422700000,4475.01,4475.01,4474.56,4474.56,583.435,2610639.86663
1758422760000,4474.57,4474.57,4474.0,4474.0,486.088,2174892.63591
1758422820000,4474.0,4475.55,4474.0,4475.54,457.637,2047769.79947
1758422880000,4475.55,4476.61,4475.54,4476.61,435.035,1947367.7154
1758422940000,4476.61,4478.5,4476.6,4478.5,667.616,2989350.93936
1758423000000,4478.49,4478.5,4478.03,4478.22,369.326,1653943.96041
1758423060000,4478.22,4478.22,4476.49,4476.85,400.77,1794264.14852
1758423120000,4476.84,4476.88,4476.84,4476.87,189.643,849002.81922
1758423180000,4476.87,4477.5,4476.87,4477.48,324.355,1452218.70589
1758423240000,4477.48,4478.22,4477.47,4478.22,258.815,1158917.83759
1758423300000,4478.22,4478.22,4477.77,4477.78,215.33,964225.17262
1758423360000,4477.77,4477.78,4477.0,4477.07,353.446,1582455.75643
1758423420000,4477.07,4477.08,4477.07,4477.07,276.108,1236156.08277
1758423480000,4477.08,4477.08,4476.0,4476.01,198.558,888887.64649
1758423540000,4476.0,4476.53,4476.0,4476.53,590.309,2642290.47523
1758423600000,4476.53,4476.53,4476.51,4476.51,206.969,926500.67493
1758423660000,4476.52,4476.87,4476.51,4476.75,389.815,1745073.4431
1758423720000,4476.75,4477.5,4476.74,4477.5,228.237,1021846.30758
1758423780000,4477.5,4477.5,4476.16,4476.73,711.818,3186576.21419
1758423840000,4476.74,4476.74,4475.44,4475.65,466.473,2087842.76743
1758423900000,4475.65,4475.65,4475.36,4475.65,220.023,984728.40545
1758423960000,4475.64,4475.65,4475.64,4475.65,105.797,473509.57073
1758424020000,4475.65,4475.65,4474.76,4474.76,771.492,3452769.86475
1758424080000,4474.77,4475.64,4474.3,4475.64,576.814,2581002.31048
1758424140000,4475.63,4475.66,4474.68,4474.84,949.844,4250912.55341
1758424200000,4474.84,4474.85,4474.0,4474.01,472.728,2115261.31632
1758424260000,4474.0,4474.01,4473.0,4473.0,360.308,1611793.60257
1758424320000,4473.0,4474.72,4472.79,4474.72,1168.908,5228626.1398
1758424380000,4474.71,4474.72,4474.38,4474.39,177.019,792097.88595
1758424440000,4474.39,4475.52,4474.38,4475.51,317.223,1419415.79849
1758424500000,4475.52,4475.52,4473.83,4473.84,339.924,1521085.72251
1758424560000,4473.83,4473.84,4473.83,4473.83,377.428,1688551.24681
1758424620000,4473.83,4473.84,4472.01,4472.01,587.903,2629698.43625
1758424680000,4472.01,4472.02,4470.72,4470.72,569.918,2548287.70188
1758424740000,4470.73,4472.41,4470.57,4472.41,1440.682,6440922.7409
1758424800000,4472.41,4472.41,4472.01,4472.22,264.695,1183802.32929
1758424860000,4472.21,4473.42,4471.78,4471.88,1357.701,6072512.5046
1758424920000,4471.88,4472.56,4471.87,4472.56,220.79,987472.25143
1758424980000,4472.55,4472.56,4471.69,4471.69,336.59,1505171.47308
1758425040000,4471.7,4473.77,4471.69,4472.09,655.787,2933141.67927
1758425100000,4472.1,4473.84,4472.1,4473.83,242.572,1084994.88311
1758425160000,4473.84,4474.87,4473.6,4474.66,614.927,2751355.25273
1758425220000,4474.67,4476.17,4474.67,4476.17,692.337,3098592.78679
1758425280000,4476.17,4476.57,4475.45,4475.45,597.137,2672893.75424
1758425340000,4475.46,4475.8,4475.33,4475.33,395.593,1770517.62974
1758425400000,4475.33,4475.34,4474.03,4474.03,185.617,830580.63791
1758425460000,4474.03,4474.04,4473.55,4473.97,145.931,652850.21759
1758425520000,4473.98,4475.0,4473.34,4475.0,528.698,2365339.02694
1758425580000,4474.99,4475.47,4473.8,4474.01,471.143,2108336.8375
1758425640000,4474.01,4475.13,4473.8,4475.04,239.912,1073475.4899
1758425700000,4475.04,4475.48,4473.28,4473.28,220.986,988738.30466
1758425760000,4473.28,4473.7,4472.61,4473.7,206.326,922904.30727
1758425820000,4473.7,4474.54,4472.75,4472.76,1085.429,4855648.2867
1758425880000,4472.75,4473.96,4471.97,4473.95,598.754,2677901.05897
1758425940000,4473.96,4474.58,4473.81,4473.82,153.508,686836.88528
1758426000000,4473.81,4474.4,4473.73,4474.39,439.698,1967237.2937
1758426060000,4474.4,4475.48,4474.4,4475.47,256.277,1146895.53265
1758426120000,4475.47,4475.48,4474.31,4474.9,439.761,1967958.73773
1758426180000,4474.9,4474.91,4474.14,4474.14,60.18,269272.77872
1758426240000,4474.15,4474.15,4474.14,4474.14,91.194,408015.01283
1758426300000,4474.15,4475.62,4474.14,4475.01,622.233,2784514.51281
1758426360000,4475.01,4475.01,4474.14,4474.15,353.062,1579775.90132
1758426420000,4474.14,4475.07,4474.14,4475.06,116.318,520476.68962
1758426480000,4475.07,4475.15,4475.06,4475.14,47.481,212482.77036
1758426540000,4475.15,4475.67,4475.14,4475.66,207.415,928299.92997
1758426600000,4475.67,4476.66,4475.66,4476.66,566.939,2537769.82395
1758426660000,4476.66,4476.68,4475.55,4475.56,196.373,879046.4536
1758426720000,4475.56,4475.56,4474.76,4475.09,286.509,1282077.07084
1758426780000,4475.1,4475.92,4475.09,4475.44,189.631,848737.75725
1758426840000,4475.44,4475.44,4474.91,4475.06,692.79,3100329.75036
1758426900000,4475.05,4475.44,4475.04,4475.43,208.943,935082.73814
1758426960000,4475.44,4476.07,4475.43,4476.07,211.84,948095.76587
1758427020000,4476.07,4476.07,4475.6,4475.85,291.815,1306120.1387
1758427080000,4475.85,4475.85,4475.04,4475.04,83.037,371626.10423
1758427140000,4475.04,4476.56,4475.04,4476.11,374.992,1678395.53202
1758427200000,4476.12,4476.5,4475.64,4476.49,260.087,1164138.92403
1758427260000,4476.5,4476.72,4476.49,4476.72,127.65,571433.69208
1758427320000,4476.71,4476.72,4474.0,4474.01,483.751,2164964.88937
1758427380000,4474.01,4474.98,4474.0,4474.97,220.044,984565.13729
1758427440000,4474.98,4475.8,4474.97,4475.8,165.608,741166.9802
1758427500000,4475.79,4476.0,4474.27,4474.28,274.264,1227459.24133
1758427560000,4474.27,4474.27,4473.36,4473.36,280.243,1253718.8917
1758427620000,4473.37,4473.37,4470.01,4470.71,2206.678,9866670.60852
1758427680000,4470.71,4471.25,4470.02,4471.25,491.486,2197324.81545
1758427740000,4471.24,4471.45,4471.0,4471.01,303.546,1357205.66968
1758427800000,4471.01,4471.67,4471.0,4471.01,227.863,1018815.17119
1758427860000,4471.01,4471.01,4468.43,4468.43,968.505,4328669.71982
1758427920000,4468.44,4468.44,4467.89,4467.9,409.987,1831872.57574
1758427980000,4467.9,4467.9,4466.88,4466.88,637.394,2847498.08078
1758428040000,4466.87,4468.67,4466.87,4468.67,1165.12,5205260.90483
1758428100000,4468.67,4468.81,4467.99,4468.76,891.242,3982470.91609
1758428160000,4468.75,4469.1,4468.58,4468.59,347.328,1552151.29176
1758428220000,4468.58,4469.0,4468.01,4469.0,225.068,1005709.11674
1758428280000,4469.0,4469.83,4468.99,4469.83,202.871,906679.99049
1758428340000,4469.83,4469.9,4468.7,4469.12,506.583,2264080.94261
1758428400000,4469.12,4469.12,4468.75,4468.75,223.879,1000500.60776
1758428460000,4468.76,4468.76,4468.45,4468.45,111.05,496229.61397
1758428520000,4468.46,4468.46,4467.92,4468.27,355.931,1590359.79516
1758428580000,4468.27,4469.74,4468.27,4469.73,365.665,1634261.34859
1758428640000,4469.74,4470.1,4469.73,4470.09,290.316,1297678.44457
1758428700000,4470.1,4470.1,4469.0,4469.0,735.193,3286275.97844
1758428760000,4469.01,4469.01,4468.08,4468.09,162.984,728325.09439
1758428820000,4468.09,4468.48,4468.0,4468.47,343.932,1536761.01596
1758428880000,4468.47,4468.48,4467.85,4468.19,212.083,947615.11584
1758428940000,4468.2,4468.2,4467.8,4468.19,224.28,1002089.74663
1758429000000,4468.2,4469.0,4468.2,4468.6,207.172,925800.23915
1758429060000,4468.6,4469.76,4468.6,4469.75,155.727,695947.31936
1758429120000,4469.75,4469.96,4468.65,4468.65,444.515,1986860.70165
1758429180000,4468.65,4468.66,4467.95,4467.95,281.246,1256657.08358
1758429240000,4467.95,4467.99,4467.65,4467.99,372.166,1662764.4803
1758429300000,4467.98,4470.0,4467.98,4468.79,168.973,755173.5376
1758429360000,4468.78,4470.0,4468.78,4469.57,581.72,2599806.93638
1758429420000,4469.57,4470.18,4469.57,4469.97,211.979,947544.50527
1758429480000,4469.97,4469.98,4468.26,4468.63,351.223,1569678.79756
1758429540000,4468.63,4469.27,4468.63,4469.26,200.104,894276.10502
1758429600000,4469.26,4470.09,4469.26,4470.08,196.22,876979.47592
1758429660000,4470.08,4470.2,4470.08,4470.2,86.661,387387.99771
1758429720000,4470.2,4471.02,4470.19,4470.21,394.856,1765290.87736
1758429780000,4470.2,4470.21,4469.74,4469.75,80.197,358478.92742
1758429840000,4469.74,4469.74,4469.16,4469.16,96.41,430878.23748
1758429900000,4469.17,4469.17,4468.88,4469.16,174.623,780396.38288
1758429960000,4469.17,4469.17,4469.1,4469.11,156.562,699701.2859
1758430020000,4469.1,4469.4,4469.09,4469.09,427.714,1911584.58305
1758430080000,4469.1,4469.1,4469.09,4469.09,86.387,386071.64298
1758430140000,4469.1,4469.1,4468.0,4468.78,466.246,2083478.74053
1758430200000,4468.78,4468.78,4468.0,4468.52,264.432,1181555.24567
1758430260000,4468.51,4469.53,4468.21,4468.22,306.065,1367820.85582
1758430320000,4468.21,4468.25,4467.7,4468.24,402.078,1796440.67928
1758430380000,4468.25,4470.51,4468.24,4469.51,362.703,1621182.48021
1758430440000,4469.51,4470.0,4469.28,4469.49,508.364,2272177.40656
1758430500000,4469.48,4469.91,4469.1,4469.11,426.211,1904975.76573
1758430560000,4469.11,4469.11,4468.19,4468.41,432.583,1933066.22935
1758430620000,4468.4,4469.57,4468.15,4469.07,504.918,2256321.80202
1758430680000,4469.07,4469.72,4469.06,4469.72,220.44,985267.05364
1758430740000,4469.71,4469.98,4469.3,4469.96,907.278,4055233.51264
1758430800000,4469.96,4469.97,4468.32,4468.95,394.503,1763010.30248
1758430860000,4468.95,4468.95,4468.62,4468.95,112.284,501773.04956
1758430920000,4468.95,4470.98,4468.94,4470.98,698.955,3124351.01034
1758430980000,4470.98,4471.09,4470.97,4471.09,290.724,1299849.21733
1758431040000,4471.08,4471.09,4468.52,4468.53,574.024,2565878.75983
1758431100000,4468.52,4468.53,4467.91,4467.92,402.18,1796956.47546
1758431160000,4467.91,4467.92,4465.45,4465.46,1666.609,7444207.22395
1758431220000,4465.45,4466.77,4465.45,4466.32,623.662,2785366.70797
1758431280000,4466.32,4467.12,4466.31,4466.55,283.484,1266234.83475
1758431340000,4466.55,4467.0,4464.34,4464.89,1765.56,7884540.09989
1758431400000,4464.88,4465.69,4464.88,4465.69,374.795,1673461.85849
1758431460000,4465.69,4466.8,4465.69,4466.1,521.32,2328400.71759
1758431520000,4466.1,4466.11,4465.6,4466.02,729.487,3257860.60577
1758431580000,4466.03,4466.77,4466.02,4466.77,164.834,736248.96194
1758431640000,4466.77,4466.77,4465.52,4465.52,336.271,1501831.58002
1758431700000,4465.52,4467.16,4465.52,4467.16,317.114,1416408.32298
1758431760000,4467.16,4467.16,4467.06,4467.06,417.255,1863940.17383
1758431820000,4467.06,4467.06,4465.29,4465.97,571.087,2550542.57828
1758431880000,4465.97,4466.07,4465.5,4466.07,154.452,689776.97662
1758431940000,4466.07,4466.54,4465.55,4465.65,314.924,1406403.5742
1758432000000,4465.65,4467.54,4465.64,4467.54,451.053,2014650.78926
1758432060000,4467.53,4467.54,4467.12,4467.12,278.911,1245965.43866
1758432120000,4467.13,4467.5,4467.12,4467.5,181.724,811825.85506
1758432180000,4467.5,4468.0,4467.49,4467.67,443.874,1983124.49477
1758432240000,4467.67,4467.79,4467.67,4467.79,77.282,345275.20041
1758432300000,4467.78,4467.79,4466.48,4466.49,242.841,1084797.28721
1758432360000,4466.48,4467.45,4466.48,4467.25,331.202,1479425.15338
1758432420000,4467.26,4468.09,4467.25,4468.09,274.731,1227458.09414
1758432480000,4468.09,4468.09,4467.64,4467.65,262.594,1173259.48346
1758432540000,4467.65,4467.65,4467.64,4467.65,48.135,215050.09214
1758432600000,4467.65,4468.09,4467.39,4467.4,311.643,1392321.31976
1758432660000,4467.4,4469.08,4467.39,4468.78,898.133,4013011.33555
1758432720000,4468.78,4468.78,4467.29,4467.3,155.898,696559.31018
1758432780000,4467.3,4469.25,4466.64,4469.25,287.835,1286089.26005
1758432840000,4469.25,4469.25,4469.24,4469.25,191.027,853747.27071
1758432900000,4469.24,4469.24,4466.2,4466.66,1294.534,5783053.37406
1758432960000,4466.65,4467.7,4466.65,4467.7,158.295,707137.93023
1758433020000,4467.7,4468.23,4467.69,4467.7,231.648,1035018.17913
1758433080000,4467.7,4468.15,4467.69,4467.76,283.921,1268526.57866
1758433140000,4467.77,4468.46,4467.64,4468.46,234.666,1048450.9168
1758433200000,4468.46,4468.46,4468.25,4468.25,206.13,921078.57513
1758433260000,4468.26,4468.26,4468.25,4468.26,53.08,237175.09194
1758433320000,4468.25,4470.25,4468.25,4470.25,1018.444,4551694.37843
1758433380000,4470.24,4470.43,4470.24,4470.42,638.666,2855026.85555
1758433440000,4470.43,4470.45,4470.43,4470.45,111.881,500156.81535
1758433500000,4470.45,4471.0,4470.4,4471.0,389.461,1741134.6199
1758433560000,4470.99,4473.27,4470.99,4473.27,961.507,4300139.15508
1758433620000,4473.27,4473.27,4473.06,4473.06,270.219,1208731.07727
1758433680000,4473.07,4473.65,4473.06,4473.64,262.257,1173170.63341
1758433740000,4473.65,4474.87,4473.64,4474.87,485.624,2172735.48381
1758433800000,4474.87,4475.36,4473.92,4473.92,945.985,4233094.51282
1758433860000,4473.93,4474.42,4473.92,4474.28,248.614,1112361.36585
1758433920000,4474.28,4474.28,4472.94,4473.76,469.019,2098255.33215
1758433980000,4473.77,4475.24,4473.76,4475.24,426.091,1906518.01689
1758434040000,4475.23,4475.24,4475.23,4475.23,160.129,716615.01675
1758434100000,4475.24,4476.11,4475.23,4476.11,657.858,2944484.9421
1758434160000,4476.11,4476.11,4476.0,4476.11,483.243,2163032.476
1758434220000,4476.1,4476.11,4475.7,4475.71,224.008,1002657.16615
1758434280000,4475.7,4475.71,4474.45,4474.46,917.493,4105800.83697
1758434340000,4474.46,4475.7,4474.46,4475.69,419.042,1875412.46309
1758434400000,4475.7,4478.0,4475.7,4478.0,1207.078,5404098.01281
1758434460000,4478.0,4479.0,4477.99,4478.19,1377.501,6168953.43682
1758434520000,4478.19,4478.2,4476.1,4477.43,990.105,4432326.96387
1758434580000,4477.43,4477.43,4476.28,4476.28,307.866,1378392.13897
1758434640000,4476.29,4476.29,4475.43,4475.5,391.997,1754487.98716
1758434700000,4475.5,4478.35,4475.49,4478.35,518.108,2319720.64754
1758434760000,4478.34,4478.83,4478.3,4478.83,531.157,2378833.93087
1758434820000,4478.83,4479.64,4478.83,4479.64,1767.929,7918636.55168
1758434880000,4479.64,4480.44,4478.33,4480.43,2609.18,11688595.81743
1758434940000,4480.44,4480.5,4480.05,4480.26,788.834,3534250.68537
1758435000000,4480.26,4480.26,4479.65,4479.66,617.286,2765493.34724
1758435060000,4479.66,4480.82,4479.65,4480.82,732.511,3281665.31016
1758435120000,4480.82,4481.78,4480.81,4481.77,1550.481,6947762.63165
1758435180000,4481.78,4482.54,4481.77,4482.53,844.589,3785488.15994
1758435240000,4482.53,4482.55,4480.93,4480.93,1284.088,5755590.31019
1758435300000,4480.93,4482.0,4480.93,4481.7,1096.073,4911968.3468
1758435360000,4481.71,4482.82,4481.7,4482.56,603.968,2707312.78744
1758435420000,4482.57,4482.57,4480.38,4480.85,761.916,3414177.02456
1758435480000,4480.85,4480.94,4480.0,4480.94,558.788,2503489.83032
1758435540000,4480.94,4480.94,4480.0,4480.3,520.277,2331082.03391
1758435600000,4480.3,4480.4,4478.08,4478.22,997.561,4468625.47364
1758435660000,4478.22,4479.2,4477.5,4479.19,519.418,2326083.08435
1758435720000,4479.2,4479.99,4479.19,4479.99,994.366,4454496.0258
1758435780000,4479.99,4479.99,4479.0,4479.56,508.947,2279928.5271
1758435840000,4479.56,4479.99,4479.52,4479.99,636.382,2850902.85056
1758435900000,4479.98,4480.01,4479.48,4479.99,767.416,3437960.24205
1758435960000,4480.0,4480.0,4479.61,4480.0,191.93,859824.15027
1758436020000,4480.0,4480.08,4479.99,4480.08,188.033,842399.71085
1758436080000,4480.07,4480.73,4479.78,4480.73,501.565,2247098.68441
1758436140000,4480.73,4480.73,4480.3,4480.62,225.892,1012081.0486
1758436200000,4480.62,4480.87,4480.3,4480.3,344.814,1544964.99695
1758436260000,4480.3,4480.3,4478.97,4478.97,220.964,989736.03643
1758436320000,4478.97,4479.0,4478.36,4479.0,514.594,2304673.28288
1758436380000,4479.0,4480.44,4478.99,4479.52,1114.978,4994624.43159
1758436440000,4479.51,4480.37,4479.51,4479.76,264.76,1186180.77814
1758436500000,4479.76,4480.68,4479.73,4480.68,342.519,1534593.48097
1758436560000,4480.68,4480.95,4479.29,4479.29,1052.248,4714468.61066
1758436620000,4479.3,4480.74,4479.29,4479.61,394.214,1766087.54567
1758436680000,4479.6,4479.61,4479.29,4479.3,141.178,632406.41636
1758436740000,4479.3,4480.6,4478.0,4480.58,1611.389,7217643.04249
1758436800000,4480.59,4488.86,4480.58,4485.82,10021.867,44951971.81487
1758436860000,4485.83,4487.34,4484.9,4487.16,3317.311,14881430.84934
1758436920000,4487.15,4489.49,4486.2,4487.41,5596.037,25112806.34874
1758436980000,4487.41,4491.39,4486.4,4490.31,4638.187,20822384.92339
1758437040000,4490.32,4490.32,4488.79,4489.64,1526.509,6853166.406
1758437100000,4489.64,4489.64,4487.75,4487.79,1427.559,6407957.63176
1758437160000,4487.8,4488.28,4487.39,4487.4,1285.654,5769908.36426
1758437220000,4487.4,4487.4,4486.65,4486.66,483.024,2167431.47612
1758437280000,4486.65,4486.66,4485.82,4485.82,483.146,2167454.52159
1758437340000,4485.82,4485.83,4484.66,4485.04,1059.772,4753332.41645
1758437400000,4485.05,4486.52,4485.04,4485.9,898.005,4028690.32178
1758437460000,4485.91,4486.5,4485.9,4486.07,381.616,1711970.13287
1758437520000,4486.07,4487.1,4485.9,4485.9,678.807,3045456.43498
1758437580000,4485.9,4486.43,4485.11,4485.11,329.059,1476141.89948
1758437640000,4485.12,4485.12,4484.1,4484.11,685.482,3073911.51993
1758437700000,4484.11,4484.47,4484.09,4484.47,355.806,1595472.82218
1758437760000,4484.46,4484.47,4484.09,4484.1,318.528,1428413.46774
1758437820000,4484.1,4484.69,4484.09,4484.62,358.038,1605601.73215
1758437880000,4484.62,4484.62,4482.89,4482.89,693.368,3108692.27781
1758437940000,4482.89,4482.9,4482.61,4482.9,287.474,1288680.96289
1758438000000,4482.9,4482.9,4482.15,4482.16,684.603,3068672.74528
1758438060000,4482.15,4482.71,4482.15,4482.71,354.115,1587219.06035
1758438120000,4482.71,4483.93,4482.7,4483.01,328.187,1471339.07346
1758438180000,4483.0,4483.01,4483.0,4483.01,112.994,506552.81289
1758438240000,4483.0,4483.01,4482.06,4482.07,258.864,1160382.89191
1758438300000,4482.06,4482.07,4481.62,4481.63,420.359,1883946.67577
1758438360000,4481.62,4481.62,4477.61,4478.8,2255.972,10104603.33635
1758438420000,4478.8,4479.11,4476.53,4477.56,1117.369,5002702.68049
1758438480000,4477.57,4478.48,4476.79,4478.47,430.605,1927999.58218
1758438540000,4478.48,4479.46,4478.47,4479.04,347.002,1554279.93472
1758438600000,4479.05,4479.48,4478.3,4479.48,387.627,1736167.31998
1758438660000,4479.48,4481.02,4479.47,4481.02,433.038,1940262.22711
1758438720000,4481.02,4481.29,4480.4,4481.22,383.283,1717528.77251
1758438780000,4481.22,4481.22,4480.21,4480.22,314.544,1409376.6969
1758438840000,4480.21,4480.22,4479.55,4479.87,276.98,1240784.25234
1758438900000,4479.88,4479.88,4479.01,4479.01,744.543,3335133.39544
1758438960000,4479.01,4479.02,4478.79,4478.8,211.194,945906.65824
1758439020000,4478.79,4478.8,4477.0,4477.0,872.559,3906819.29077
1758439080000,4477.01,4478.04,4476.71,4478.03,393.831,1763289.99144
1758439140000,4478.03,4478.07,4477.42,4477.51,316.232,1416005.35916
1758439200000,4477.53,4479.25,4477.53,4479.03,553.326,2478331.45367
1758439260000,4479.02,4479.03,4478.78,4478.78,224.643,1006148.26362
1758439320000,4478.79,4478.79,4478.78,4478.78,76.418,342259.86145
1758439380000,4478.79,4478.79,4477.67,4477.84,506.804,2269381.65098
1758439440000,4477.85,4477.85,4476.34,4477.15,1007.733,4511630.06076
1758439500000,4477.15,4478.0,4477.15,4477.99,123.402,552543.89951
1758439560000,4478.0,4478.44,4477.99,4478.43,168.958,756643.94839
1758439620000,4478.44,4478.44,4478.43,4478.43,64.867,290502.7607
1758439680000,4478.44,4478.88,4478.43,4478.88,295.45,1323218.09234
1758439740000,4478.88,4478.88,4477.84,4478.64,484.124,2168172.02761
1758439800000,4478.65,4478.88,4478.65,4478.88,215.578,965535.95871
1758439860000,4478.87,4478.88,4478.51,4478.52,435.272,1949501.0697
1758439920000,4478.51,4480.0,4478.51,4480.0,248.905,1114961.47716
1758439980000,4479.99,4480.0,4479.99,4480.0,141.741,634999.07416
1758440040000,4479.99,4480.0,4479.28,4479.28,434.971,1948547.70053
1758440100000,4479.29,4479.29,4478.94,4478.94,185.322,830079.28672
1758440160000,4478.94,4478.95,4478.94,4478.94,127.293,570138.37399
1758440220000,4478.94,4478.95,4478.94,4478.95,77.965,349200.979
1758440280000,4478.94,4480.64,4478.94,4480.63,415.547,1861557.51782
